主订单编号,支付单号,标题,购买数量,商品属性,订单状态,买家实际支付金额,订单创建时间,订单付款时间
"=""3124400077865956629""","=""2022122922001157791447232079""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-29 23:46:13,2022-12-29 23:46:20
"=""3124400077865956629""","=""2022122922001157791447232079""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-29 23:46:13,2022-12-29 23:46:20
"=""3124400077865956629""","=""2022122922001157791447232079""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-29 23:46:13,2022-12-29 23:46:20
"=""3124400077865956629""","=""2022122922001157791447232079""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-29 23:46:13,2022-12-29 23:46:20
"=""1783463880850541683""","=""2022122922001141251446742388""",【年货价】SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml,1,,交易成功,145.0,2022-12-29 23:34:57,2022-12-29 23:35:15
"=""1783463880850541683""","=""2022122922001141251446742388""",【赠品专用】SERUMKIND精华液小样1ml*3,2,,交易成功,0.0,2022-12-29 23:34:57,2022-12-29 23:35:15
"=""1783463880850541683""","=""2022122922001141251446742388""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-29 23:34:57,2022-12-29 23:35:15
"=""1783463880850541683""","=""2022122922001141251446742388""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-29 23:34:57,2022-12-29 23:35:15
"=""1783463880850541683""","=""2022122922001141251446742388""",【赠品专用】SUREBASE烁贝思粉扑2件装,1,,交易成功,0.0,2022-12-29 23:34:57,2022-12-29 23:35:15
"=""1783463880850541683""","=""2022122922001141251446742388""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-29 23:34:57,2022-12-29 23:35:15
"=""1784186510668120774""","=""2022122922001153081451654343""",SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),1,颜色分类：N1 SINCERE SARA;净含量：13ml,交易成功,134.85,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""1784186510668120774""","=""2022122922001153081451654343""",SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml,1,颜色分类：N1 SINCERE SARA (替换装);净含量：13ml,交易成功,67.14,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""1784186510668120774""","=""2022122922001153081451654343""",【赠品专用】SERUMKIND纯棉化妆包袋,1,,交易成功,0.0,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""1784186510668120774""","=""2022122922001153081451654343""",【赠品专用】SERUMKIND精华液小样1ml*3,3,,交易成功,0.0,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""1784186510668120774""","=""2022122922001153081451654343""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,2,,交易成功,0.0,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""1784186510668120774""","=""2022122922001153081451654343""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""1784186510668120774""","=""2022122922001153081451654343""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,2,,交易成功,0.0,2022-12-29 23:33:19,2022-12-29 23:33:38
"=""3124944363752814334""","=""2022122922001191761452643642""",SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml,1,颜色分类：N1 SINCERE SARA (替换装);净含量：13ml,交易成功,66.75,2022-12-29 23:30:56,2022-12-29 23:31:05
"=""3124944363752814334""","=""2022122922001191761452643642""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-29 23:30:56,2022-12-29 23:31:05
"=""3124944363752814334""","=""2022122922001191761452643642""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-29 23:30:56,2022-12-29 23:31:05
"=""1783638123653582894""","=""2022122922001118861425300409""",SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),1,颜色分类：N1 SINCERE SARA;净含量：13ml,交易成功,154.23,2022-12-29 22:23:56,2022-12-29 22:24:01
"=""1783638123653582894""","=""2022122922001118861425300409""",【赠品专用】SERUMKIND精华液小样1ml*3,2,,交易成功,0.0,2022-12-29 22:23:56,2022-12-29 22:24:01
"=""1783638123653582894""","=""2022122922001118861425300409""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-29 22:23:56,2022-12-29 22:24:01
"=""1783638123653582894""","=""2022122922001118861425300409""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-29 22:23:56,2022-12-29 22:24:01
"=""1783638123653582894""","=""2022122922001118861425300409""",【赠品专用】SUREBASE烁贝思粉扑2件装,1,,交易成功,0.0,2022-12-29 22:23:56,2022-12-29 22:24:01
"=""1783638123653582894""","=""2022122922001118861425300409""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-29 22:23:56,2022-12-29 22:24:01
